pc,count
0x8008b4,1
0x8008ec,1
0x8008f0,1
0x8008f4,1
0x8008f8,1
0x8008fc,1
0x800900,1
0x800904,1
0x800908,1
0x80095c,1
0x800960,1
0x800964,1
0x800968,1
0x80096c,1
0x800970,1
0x800974,1
0x800978,1
0x80097c,1
0x800980,1
0x800984,1
0x800988,1
0x80098c,1
0x800990,1
0x800998,1
0x80099c,1
0x8009a0,1
0x8009a4,1
0x8009a8,1
0x8009ac,1
0x8009b0,1
0x8009b4,1
0x8009b8,1
0x8009bc,1
0x8009c0,1
0x8009c4,1
0x8009c8,1
0x8009cc,1
0x8009d0,1
0x8009d4,1
0x8009d8,1
0x8009dc,1
0x8009e0,1
0x8009e4,1
0x8009e8,1
0x8009ec,1
0x8009f0,1
0x8009f4,1
0x8009f8,1
0x8009fc,1
0x800a00,1
0x800a04,1
0x800a08,1
0x800a0c,1
0x800a10,1
0x800a14,1
0x800a18,1
0x800a1c,1
0x800a20,1
0x800a24,1
0x800a38,1
0x800a3c,1
0x800a40,1
0x800a44,1
0x800a48,1
0x800a4c,1
0x800a50,1
0x800a54,1
0x800a58,1
0x800a5c,1
0x800a60,1
0x800a64,1
0x800a68,1
0x800a6c,1
0x800a70,1
0x800a74,1
0x800a78,1
0x800a7c,1
0x800a80,1
0x800a84,1
0x800a88,1
0x800a8c,1
0x800a90,1
0x800a94,1
0x800a98,1
0x800a9c,1
0x800aa0,1
0x800aa4,1
0x800aa8,1
0x800aac,1
0x800b5c,1
0x800b60,1
0x800b64,1
0x800b68,1
0x800b6c,1
0x800b70,1
0x800b74,1
0x800b78,1
0x800b7c,1
0x800b80,1
0x800b84,1
0x800b88,1
0x800b8c,1
0x800b90,1
0x800b94,1
0x800b98,1
0x800b9c,1
0x800ba0,1
0x800ba4,1
0x800ba8,1
0x800bac,1
0x800bb0,1
0x800bb4,1
0x800bb8,1
0x800bbc,1
0x800bc0,1
0x800bc4,1
0x800bc8,1
0x800bcc,1
0x800bd0,1
0x800bd4,1
0x800c34,1
0x800c38,1
0x800c50,1
0x800c54,1
0x800c58,1
0x800c5c,1
0x800c60,1
0x800c64,1
0x800c68,1
0x800c6c,1
0x800c70,1
0x800c74,1
0x800c78,1
0x800c7c,1
0x800c80,1
0x800c84,1
0x800c88,1
0x800c8c,1
0x800c90,1
0x800c94,1
0x800c98,1
0x800c9c,1
0x800ca0,1
0x800ca4,1
0x800ca8,1
0x800cac,1
0x800cb0,1
0x800cb4,1
0x800cb8,1
0x800cbc,1
0x800cc0,1
0x800cc4,1
0x800cc8,1
0x800ccc,1
0x800cd0,1
0x800cd4,1
0x800cd8,1
0x800cdc,1
0x800ce0,1
0x800ce4,1
0x800ce8,1
0x800cec,1
0x800cf0,1
0x800cf4,1
0x800cf8,1
0x800cfc,1
0x800d00,1
0x800d04,1
0x800d08,1
0x800d0c,1
0x800d10,1
0x800d14,1
0x800d18,1
0x800d1c,1
0x800d20,1
0x800d24,1
0x800d28,1
0x800d2c,1
0x800d30,1
0x800d34,1
0x800d38,1
0x800d3c,10
0x800dd4,10
0x800dd8,10
0x800ddc,10
0x800de0,10
0x800de4,10
0x800de8,10
0x800dec,10
0x800df0,10
0x800df4,10
0x800df8,10
0x800dfc,1
0x800e00,1
0x800e04,1
0x800e08,1
0x800e0c,1
0x800e10,1
0x800e14,1
0x800e18,1
0x800e1c,1
0x800e20,1
0x800e24,1
0x800e28,1
0x800e2c,1
0x800e30,1
0x800e34,1
0x800e38,1
0x800e3c,1
0x800e40,1
0x800e44,1
0x800e50,1
0x800e54,1
0x800e58,1
0x800e5c,1
0x800e60,1
0x800f68,1
0x800f6c,1
0x800f70,1
0x800f74,1
0x800f78,1
0x800f7c,1
0x800f80,1
0x800f84,1
0x800f88,1
0x800f8c,1
0x800f90,1
0x800f94,1
0x800f98,1
0x800f9c,1
0x800fa0,1
0x800fa4,1
0x800fa8,1
0x800fac,1
0x800fb0,1
0x800fc4,1
0x800fc8,1
0x800fcc,1
0x800fd0,1
0x800fd4,1
0x800fd8,1
0x800fdc,1
0x800fe0,1
0x800fe4,1
0x801038,1
0x80103c,1
0x801040,1
0x801074,3
0x801078,3
0x80107c,3
0x801080,1
0x801084,1
0x8010b0,2
0x8010b4,2
0x8010b8,2
0x8010bc,2
0x8010c0,2
0x8010c4,2
0x8010c8,2
0x8010cc,1
0x8010d0,1
0x8010d4,1
0x8010e0,1
0x8010e4,1
0x801140,1
0x801144,1
0x801148,1
0x80114c,1
0x801150,1
0x801154,1
0x801158,1
0x80115c,1
0x801160,1
0x801164,1
0x801168,1
0x80116c,1
0x801170,1
0x801174,1
0x801178,1
0x80117c,1
0x801180,1
0x801184,1
0x801188,1
0x80118c,1
0x801190,1
0x801194,1
0x801198,1
0x80119c,1
0x8011a0,1
0x8011a4,1
0x8011a8,1
0x8011ac,1
0x8011b0,1
0x8011b4,1
0x8011b8,1
0x8011bc,1
0x801230,1
0x801234,1
0x801238,1
0x80123c,1
0x801240,1
0x801244,1
0x801248,1
0x80124c,1
0x801250,1
0x801254,1
0x801258,1
0x80125c,1
0x801260,1
0x801264,1
0x801268,1
0x80126c,1
0x801270,1
0x801274,3
0x801278,3
0x80127c,3
0x801280,3
0x801284,3
0x801288,3
0x80128c,3
0x801290,3
0x801294,3
0x801298,3
0x80129c,3
0x8012a0,3
0x8012a4,3
0x8012a8,3
0x8012ac,3
0x8012b0,3
0x8012b4,3
0x8012b8,3
0x8012cc,1
0x8012d0,1
0x8012d4,1
0x8012d8,1
0x8012dc,1
0x8012e0,1
0x8012e4,1
0x8012e8,1
0x8012ec,1
0x8012f0,1
0x8012f4,1
0x8012f8,1
