pc,count
0x8003c4,1
0x8003c8,1
0x8003cc,1
0x8003d0,1
0x8003d4,1
0x8003dc,1
0x8003e0,1
0x8003e4,1
0x8003e8,1
0x8003ec,1
0x8003f0,1
0x8003f4,1
0x8003f8,4
0x8003fc,4
0x800400,4
0x800404,4
0x800408,4
0x80040c,4
0x800410,4
0x800414,4
0x800418,4
0x80041c,4
0x800424,4
0x800460,3
0x800464,3
0x800468,4
0x80046c,4
0x800470,4
0x800474,4
0x800478,4
0x80047c,4
0x800480,4
0x800484,4
0x800488,4
0x80048c,4
0x800490,4
0x800494,4
0x800498,3
0x80049c,3
0x8004a0,1
0x8004a4,1
0x800594,2701
0x800598,2701
0x80059c,2701
0x8005a0,2701
0x8005a4,2701
0x8005a8,2701
0x8005ac,2701
0x8005b0,2701
0x8005b4,2701
0x8005b8,2701
0x8005bc,2701
0x8005c0,2701
0x8005c4,2701
0x8005c8,2701
0x8005cc,2701
0x8005d0,2701
0x8005d4,2701
0x8005d8,2701
0x8005dc,2701
0x8005e0,2701
0x8005e4,2701
0x8005e8,2701
0x8005ec,2701
0x8005f0,2701
0x8005f4,2701
0x8005f8,2701
0x8005fc,2701
0x800600,2701
0x800604,2701
0x80083c,1
0x800840,1
0x800864,4
0x800868,4
0x80086c,4
0x800870,4
0x800874,4
0x800878,4
0x80087c,4
0x800880,4
0x800884,4
0x800888,4
0x80088c,4
0x800890,4
0x800894,4
0x800898,4
0x80089c,4
0x8008a0,4
0x800970,5184
0x800974,5184
0x800978,5184
0x80097c,5184
0x800980,5184
0x800984,5184
0x800988,5184
0x80098c,5184
0x800990,5184
0x800994,5184
0x800998,5184
0x80099c,5184
0x8009a0,5184
0x8009a4,5184
0x8009a8,5184
0x8009ac,5184
0x8009b0,5184
0x8009b4,5184
0x8009b8,5184
0x8009bc,5184
0x8009c0,5184
0x8009c4,5184
0x8009c8,5184
0x8009cc,1547
0x8009d0,1547
0x8009d4,1547
0x8009d8,1547
0x8009dc,1547
0x8009e0,1547
0x8009e4,1547
0x8009e8,1547
0x8009ec,1547
0x8009f0,1547
0x8009f4,1547
0x8009f8,1547
0x8009fc,1547
0x800a00,1547
0x800a04,1547
0x800a08,1547
0x800a0c,1547
0x800a10,1547
0x800a14,1547
0x800a18,1547
0x800a1c,1547
0x800a20,1547
0x800a24,1547
0x800a28,1547
0x800a2c,1547
0x800a30,1547
0x800a34,1547
0x800a38,1547
0x800a3c,1547
0x800a40,1547
0x800a44,1547
0x800a48,1547
0x800a4c,1547
0x800a50,1547
0x800a54,1547
0x800a58,1547
0x800a5c,1547
0x800a60,1547
0x800a64,1547
0x800a68,1547
0x800a6c,1547
0x800a70,1547
0x800a74,1547
0x800a78,8875
0x800a7c,8875
0x800a80,8875
0x800a84,25168
0x800a88,25168
0x800a8c,25168
0x800a90,25168
0x800a94,25168
0x800a98,25168
0x800a9c,25168
0x800aa0,25168
0x800aa4,25168
0x800aa8,25168
0x800aac,3
0x800ab0,3
0x800ab4,3
0x800ab8,3
0x800abc,3
0x800ac0,3
0x800ac4,3
0x800ac8,3
0x800acc,3
0x800ad0,3
0x800ad4,3
0x800ad8,3
0x800adc,3
0x800ae0,3
0x800ae4,3
0x800ae8,3
0x800aec,3
0x800af0,3
