pc,count
0x800ce0,1
0x800ce4,1
0x800ce8,1
0x800cec,1
0x800cf0,1
0x800cf4,1
0x800cf8,1
0x800cfc,1
0x800d00,1
0x800d04,1
0x800d08,32
0x800d0c,32
0x800d10,32
0x800d14,32
0x800d18,32
0x800d1c,32
0x800d20,32
0x800d24,32
0x800d28,32
0x800d2c,32
0x800d30,32
0x800d34,32
0x800d38,32
0x800d3c,32
0x800d40,32
0x800d44,32
0x800d48,32
0x800d4c,32
0x800d50,32
0x800d54,32
0x800d58,32
0x800d5c,32
0x800d60,32
0x800d64,32
0x800d68,32
0x800d6c,32
0x800d70,32
0x800d74,32
0x800d78,32
0x800d7c,32
0x800d80,32
0x800d84,32
0x800d88,32
0x800d8c,32
0x800d90,32
0x800d94,32
0x800d98,1
0x800d9c,1
0x800da0,1
0x800da4,1
0x800da8,1
0x800dac,1
0x800db0,1
0x800db4,1
0x800db8,1
0x800dbc,1
0x800dc0,1
0x800dc4,1
0x800dc8,1
0x800dcc,1
0x800dd0,1
0x800dd4,1
0x800dd8,1
0x800ddc,1
0x800de0,1
0x800de4,1
0x800de8,1
0x800dec,1
0x800df0,1
0x800df4,1
0x800df8,1
0x800dfc,1
0x800e00,1
0x800e04,1
0x800e08,1
0x800e0c,1
0x800e10,1
0x800e14,1
0x800e20,1
0x800e24,1
0x800e28,1
0x800e2c,1
0x800e30,1
0x800e34,1
0x800e38,1
0x800e3c,1
0x800e40,1
0x800e44,1
0x800e48,1
0x800e4c,1
0x800e50,1
0x800e54,1
0x800e58,1
0x800e5c,1
0x800e60,1
0x800e64,1
0x800e68,1
0x800e6c,1
0x800e70,1
0x800e74,1
0x800e78,1
0x800e7c,1
0x800e80,1
0x800e84,1
0x800e88,1
0x800e8c,1
0x800e90,1
0x800e94,1
0x800e98,1
0x800e9c,1
0x800ea0,1
0x800ea4,1
0x800ea8,1
0x800eac,1
0x800eb0,1
0x800eb4,1
0x800eb8,1
0x800ebc,1
0x800ec0,1
0x800ec4,1
0x800ec8,1
0x800ecc,1
0x800ed0,1
0x800ed4,1
0x800ed8,1
0x800edc,1
0x800ee0,1
0x800ee4,1
0x800ffc,1
0x801000,1
0x801004,1
0x801008,1
0x80100c,1
0x801010,1
0x801014,1
0x801018,1
0x80101c,1
0x801020,1
0x801024,1
0x801028,1
0x801034,1
0x801038,1
0x80103c,1
0x801040,1
0x801044,1
0x801048,1
0x80104c,1
0x801050,1
0x801054,1
0x801058,1
0x80105c,1
0x801060,1
0x801064,1
0x801068,1
0x80106c,1
0x801070,1
0x801074,1
0x801078,1
0x80107c,1
0x801080,1
0x801084,1
0x801088,1
0x80108c,1
0x801090,1
0x801094,1
0x801340,1
0x801344,1
0x801348,1
0x80134c,1
0x801350,1
0x801354,1
0x801358,1
0x80135c,1
0x801360,1
0x801364,1
0x801368,1
0x80136c,1
0x801370,1
0x801374,1
0x801378,1
0x80137c,1
0x801380,1
0x801384,1
0x801388,1
0x80138c,1
0x801390,1
0x801394,1
0x801398,1
0x80139c,1
0x8013a0,1
0x8013a4,1
0x8013a8,1
0x8013ac,1
0x801430,1
0x801434,1
0x801438,1
0x80143c,1
0x801440,1
0x801444,1
0x801448,1
0x80144c,1
0x801450,53
0x801454,11
0x801458,10
0x80145c,10
0x801460,10
0x801468,10
0x80146c,10
0x801470,10
0x801474,10
0x801478,10
0x80147c,42
0x801480,42
0x801484,42
0x801488,52
0x80148c,52
0x801490,52
0x801494,52
0x801498,52
0x80149c,52
0x8014a0,52
0x8014a4,52
0x8014a8,52
0x8014ac,52
0x8014b0,52
0x8014b4,52
0x8014b8,52
0x8014bc,52
0x8014c0,52
0x8014c4,52
0x8014c8,52
0x8014cc,52
0x8014d0,52
0x8014d4,52
0x8014d8,52
0x8014dc,52
0x8014e0,52
0x8014e4,52
0x8014e8,52
0x8014ec,52
0x8014f0,52
0x8014f4,52
0x8014f8,52
0x8014fc,52
0x801500,52
0x801504,52
0x801508,52
0x80150c,52
0x801510,52
0x801514,52
0x801518,52
0x80151c,52
0x801520,52
0x801524,52
0x801528,52
0x80152c,52
0x801530,52
0x801534,52
0x801538,52
0x80153c,52
0x801540,52
0x801544,52
0x801548,52
0x80154c,52
0x801550,52
0x801554,52
0x801558,52
0x80155c,52
0x801560,52
0x801564,52
0x801568,52
0x80156c,52
0x801570,52
0x801574,52
0x801578,52
0x80157c,52
0x801580,52
0x801584,52
0x801588,52
0x80158c,52
0x801590,52
0x801594,52
