era,arm,chunk,raw,compressed,ctx_bytes
2025-09-25_busy,dict-2025,0,1048576,131974,65536
2025-09-25_busy,dict-2025,1,1048576,150640,65536
2025-09-25_busy,dict-2025,2,1048576,170916,65536
2025-09-25_busy,dict-2025,3,1048576,142808,65536
2025-09-25_busy,dict-2025,4,1048576,137415,65536
2025-09-25_busy,dict-2025,5,1048576,145191,65536
2025-09-25_busy,dict-2025,6,1048576,146596,65536
2025-09-25_busy,dict-2025,7,1048576,140527,65536
2025-09-25_busy,dict-2025,8,1048576,149130,65536
2025-09-25_busy,dict-2025,9,1048576,152207,65536
2025-09-25_busy,dict-2025,10,1048576,141176,65536
2025-09-25_busy,dict-2025,11,1048576,154334,65536
2025-09-25_busy,dict-2025,12,1048576,161997,65536
2025-09-25_busy,dict-2025,13,1048576,158420,65536
2025-09-25_busy,dict-fresh,0,1048576,129780,65536
2025-09-25_busy,dict-fresh,1,1048576,147911,65536
2025-09-25_busy,dict-fresh,2,1048576,166655,65536
2025-09-25_busy,dict-fresh,3,1048576,139257,65536
2025-09-25_busy,dict-fresh,4,1048576,134504,65536
2025-09-25_busy,dict-fresh,5,1048576,141406,65536
2025-09-25_busy,dict-fresh,6,1048576,143317,65536
2025-09-25_busy,dict-fresh,7,1048576,137247,65536
2025-09-25_busy,dict-fresh,8,1048576,145414,65536
2025-09-25_busy,dict-fresh,9,1048576,149616,65536
2025-09-25_busy,dict-fresh,10,1048576,136612,65536
2025-09-25_busy,dict-fresh,11,1048576,150638,65536
2025-09-25_busy,dict-fresh,12,1048576,158695,65536
2025-09-25_busy,dict-fresh,13,1048576,155643,65536
2025-09-25_busy,prefix-2MiB,0,1048576,135753,0
2025-09-25_busy,prefix-2MiB,1,1048576,137090,1048576
2025-09-25_busy,prefix-2MiB,2,1048576,149772,2097152
2025-09-25_busy,prefix-2MiB,3,1048576,122435,2097152
2025-09-25_busy,prefix-2MiB,4,1048576,119511,2097152
2025-09-25_busy,prefix-2MiB,5,1048576,124367,2097152
2025-09-25_busy,prefix-2MiB,6,1048576,126392,2097152
2025-09-25_busy,prefix-2MiB,7,1048576,120095,2097152
2025-09-25_busy,prefix-2MiB,8,1048576,128268,2097152
2025-09-25_busy,prefix-2MiB,9,1048576,130284,2097152
2025-09-25_busy,prefix-2MiB,10,1048576,122368,2097152
2025-09-25_busy,prefix-2MiB,11,1048576,133586,2097152
2025-09-25_busy,prefix-2MiB,12,1048576,143069,2097152
2025-09-25_busy,prefix-2MiB,13,1048576,137358,2097152
2025-09-25_busy,prefix-1MiB,0,1048576,135753,0
2025-09-25_busy,prefix-1MiB,1,1048576,137090,1048576
2025-09-25_busy,prefix-1MiB,2,1048576,154439,1048576
2025-09-25_busy,prefix-1MiB,3,1048576,125880,1048576
2025-09-25_busy,prefix-1MiB,4,1048576,123345,1048576
2025-09-25_busy,prefix-1MiB,5,1048576,128443,1048576
2025-09-25_busy,prefix-1MiB,6,1048576,129643,1048576
2025-09-25_busy,prefix-1MiB,7,1048576,124285,1048576
2025-09-25_busy,prefix-1MiB,8,1048576,131819,1048576
2025-09-25_busy,prefix-1MiB,9,1048576,133576,1048576
2025-09-25_busy,prefix-1MiB,10,1048576,126315,1048576
2025-09-25_busy,prefix-1MiB,11,1048576,137350,1048576
2025-09-25_busy,prefix-1MiB,12,1048576,147265,1048576
2025-09-25_busy,prefix-1MiB,13,1048576,141203,1048576
2025-09-25_busy,prefix-512KiB,0,1048576,135753,0
2025-09-25_busy,prefix-512KiB,1,1048576,139688,524288
2025-09-25_busy,prefix-512KiB,2,1048576,159097,524288
2025-09-25_busy,prefix-512KiB,3,1048576,130301,524288
2025-09-25_busy,prefix-512KiB,4,1048576,127350,524288
2025-09-25_busy,prefix-512KiB,5,1048576,133253,524288
2025-09-25_busy,prefix-512KiB,6,1048576,134299,524288
2025-09-25_busy,prefix-512KiB,7,1048576,128869,524288
2025-09-25_busy,prefix-512KiB,8,1048576,135713,524288
2025-09-25_busy,prefix-512KiB,9,1048576,139003,524288
